Designator,Mid X,Mid Y,Rotation,Layer
LED87,240.25,-93.44,180.0,top
LED88,249.8,-93.625,180.0,top
LED89,260.75,-70.25,270.0,top
LED9,191.8,-135.625,0.0,top
LED90,273.35,-63.125,180.0,top
LED91,284.825,-63.075,180.0,top
LED92,298.5,-62.0,225.0,top
LED93,299.25,-52.375,270.0,top
LED94,299.25,-43.6,270.0,top
LED95,102.95,-185.275,0.0,top
LED96,102.825,-175.2,0.0,top
LED97,102.75,-165.1,0.0,top
LED98,102.75,-154.75,0.0,top
LED99,102.825,-142.475,0.0,top
Q1,299.0,-176.6,90.0,top
Q2,301.5,-176.6,90.0,top
R1,278.0375,-171.0,270.0,top
R2,285.96,-176.0,0.0,top
R3,298.5,-178.85,90.0,top
R4,301.0,-178.835,90.0,top
R5,298.75,-174.6,180.0,top
SW_BOOTLOAD1,266.99,-164.25,270.0,bottom
SW_RESET1,282.23,-164.25,90.0,bottom
U1,299.25,-151.5,0.0,top
U_CPU1,275.0,-183.01,180.0,top
U_POWER1,238.73,-179.79,270.0,top
